 !  #   ele     A    N    Z       atom mass    error         nucl.bind.E.  error       B/A
    1,    n,    1,   1,   0,     1.008664916, 0.000000000,      0.000000, 0.000000,    0.000000
    2,    H,    1,   0,   1,     1.007825032, 0.000000000,      0.000001, 0.000000,    0.000001
    3,    H,    2,   1,   1,     2.014101778, 0.000000000,     -2.224565, 0.000000,   -1.112283
    4,    H,    3,   2,   1,     3.016049282, 0.000000000,     -8.481795, 0.000000,   -2.827265
    5,   He,    3,   1,   2,     3.016029323, 0.000000000,     -7.717993, 0.000000,   -2.572664
    6,    H,    4,   3,   1,     4.026431868, 0.000107354,     -6.881795, 0.100000,   -1.720449
    7,   He,    4,   2,   2,     4.002603254, 0.000000000,    -28.295614, 0.000000,   -7.073904
    8,   Li,    4,   1,   3,     4.027185562, 0.000227733,     -4.614883, 0.212132,   -1.153721
    9,    H,    5,   4,   1,     5.035311493, 0.000096020,     -6.681795, 0.089442,   -1.336359
   10,   He,    5,   3,   2,     5.012057224, 0.000021470,    -27.560615, 0.019999,   -5.512123
   11,   Li,    5,   2,   3,     5.012537800, 0.000053677,    -26.330505, 0.050000,   -5.266101
   12,    H,    6,   5,   1,     6.044955437, 0.000272816,     -5.769836, 0.254126,   -0.961639
   13,   He,    6,   4,   2,     6.018885891, 0.000000057,    -29.271070, 0.000053,   -4.878512
   14,   Li,    6,   3,   3,     6.015122887, 0.000000002,    -31.993829, 0.000001,   -5.332305
   15,   Be,    6,   2,   4,     6.019726409, 0.000005848,    -26.923145, 0.005447,   -4.487191
   16,   He,    7,   5,   2,     7.027990654, 0.000008115,    -28.861355, 0.007559,   -4.123051
   17,   Li,    7,   4,   3,     7.016003437, 0.000000005,    -39.244920, 0.000004,   -5.606417
   18,   Be,    7,   3,   4,     7.016928717, 0.000000076,    -37.600497, 0.000071,   -5.371500
   19,    B,    7,   2,   5,     7.029712000, 0.000027000,    -24.910332, 0.025150,   -3.558619
   20,   He,    8,   6,   2,     8.033934390, 0.000000095,    -31.396118, 0.000088,   -3.924515
   21,   Li,    8,   5,   3,     8.022486246, 0.000000050,    -41.277540, 0.000047,   -5.159692
   22,   Be,    8,   4,   4,     8.005305102, 0.000000037,    -56.499144, 0.000034,   -7.062393
   23,    B,    8,   3,   5,     8.024607316, 0.000001073,    -37.736633, 0.000999,   -4.717079
   24,    C,    8,   2,   6,     8.037643042, 0.000019584,    -24.811229, 0.018242,   -3.101404
   25,   He,    9,   7,   2,     9.043946419, 0.000050259,    -30.141290, 0.046816,   -3.349032
   26,   Li,    9,   6,   3,     9.026790191, 0.000000200,    -45.339758, 0.000186,   -5.037751
   27,   Be,    9,   5,   4,     9.012183066, 0.000000082,    -58.163679, 0.000076,   -6.462631
   28,    B,    9,   4,   5,     9.013329649, 0.000000969,    -56.313031, 0.000903,   -6.257003
   29,    C,    9,   3,   6,     9.031037207, 0.000002293,    -39.035843, 0.002136,   -4.337316
   30,   He,   10,   8,   2,    10.052815308, 0.000099676,    -29.951290, 0.092848,   -2.995129
   31,   Li,   10,   7,   3,    10.035483453, 0.000013656,    -45.313354, 0.012720,   -4.531335
   32,   Be,   10,   6,   4,    10.013534695, 0.000000086,    -64.975962, 0.000080,   -6.497596
   33,    B,   10,   5,   5,    10.012936862, 0.000000016,    -64.750228, 0.000015,   -6.475023
   34,    C,   10,   4,   6,    10.016853218, 0.000000075,    -60.319463, 0.000070,   -6.031946
   35,    N,   10,   3,   7,    10.041653543, 0.000429417,    -36.435308, 0.399999,   -3.643531
   36,   Li,   11,   8,   3,    11.043723581, 0.000000660,    -45.709041, 0.000615,   -4.155367
   37,   Be,   11,   7,   4,    11.021661081, 0.000000255,    -65.477599, 0.000238,   -5.952509
   38,    B,   11,   6,   5,    11.009305166, 0.000000013,    -76.204449, 0.000012,   -6.927677
   39,    C,   11,   5,   6,    11.011432597, 0.000000064,    -73.440057, 0.000060,   -6.676369
   40,    N,   11,   4,   7,    11.026090945, 0.000049548,    -59.003094, 0.046154,   -5.363918
   41,   Li,   12,   9,   3,    12.052613941, 0.000032213,    -45.499041, 0.030006,   -3.791587
   42,   Be,   12,   8,   4,    12.026922083, 0.000002048,    -68.648325, 0.001908,   -5.720694
   43,    B,   12,   7,   5,    12.014352638, 0.000001418,    -79.574076, 0.001321,   -6.631173
   44,    C,   12,   6,   6,    12.000000000, 0.000000000,    -92.160772, 0.000000,   -7.680064
   45,    N,   12,   5,   7,    12.018613182, 0.000001073,    -74.039904, 0.000999,   -6.169992
   46,    O,   12,   4,   8,    12.034261747, 0.000025765,    -58.680457, 0.024000,   -4.890038
   47,   Li,   13,  10,   3,    13.061171503, 0.000075150,    -45.599041, 0.070002,   -3.507619
   48,   Be,   13,   9,   4,    13.036134507, 0.000010929,    -68.138324, 0.010180,   -5.241410
   49,    B,   13,   8,   5,    13.017779981, 0.000001073,    -84.452845, 0.000999,   -6.496373
   50,    C,   13,   7,   6,    13.003354835, 0.000000000,    -97.107080, 0.000000,   -7.469775
   51,    N,   13,   6,   7,    13.005738609, 0.000000289,    -94.103810, 0.000269,   -7.238755
   52,    O,   13,   5,   8,    13.024815437, 0.000010226,    -75.550957, 0.009525,   -5.811612
   53,   Be,   14,  10,   4,    14.042892920, 0.000141970,    -69.914221, 0.132244,   -4.993873
   54,    B,   14,   9,   5,    14.025404012, 0.000022773,    -85.422423, 0.021213,   -6.101602
   55,    C,   14,   8,   6,    14.003241988, 0.000000004,   -105.283514, 0.000004,   -7.520251
   56,    N,   14,   7,   7,    14.003074004, 0.000000000,   -104.657192, 0.000000,   -7.475514
   57,    O,   14,   6,   8,    14.008596706, 0.000000027,    -98.729927, 0.000025,   -7.052138
   58,    F,   14,   5,   9,    14.034315199, 0.000044142,    -73.990293, 0.041118,   -5.285021
   59,   Be,   15,  11,   4,    15.053490215, 0.000177990,    -68.114221, 0.165797,   -4.540948
   60,    B,   15,  10,   5,    15.031087953, 0.000022578,    -88.199183, 0.021031,   -5.879946
   61,    C,   15,   9,   6,    15.010599256, 0.000000858,   -106.501581, 0.000799,   -7.100105
   62,    N,   15,   8,   7,    15.000108899, 0.000000001,   -115.490488, 0.000001,   -7.699366
   63,    O,   15,   7,   8,    15.003065618, 0.000000526,   -111.953421, 0.000490,   -7.463561
   64,    F,   15,   6,   9,    15.017785139, 0.000015029,    -97.459265, 0.013999,   -6.497284
   65,   Ne,   15,   5,  10,    15.043172980, 0.000071588,    -73.027518, 0.066684,   -4.868501
   66,   Be,   16,  12,   4,    16.061672036, 0.000177990,    -68.564221, 0.165797,   -4.285264
   67,    B,   16,  11,   5,    16.039841920, 0.000026375,    -88.116232, 0.024568,   -5.507265
   68,    C,   16,  10,   6,    16.014701256, 0.000003840,   -110.751910, 0.003577,   -6.921994
   69,    N,   16,   9,   7,    16.006101925, 0.000002470,   -117.979338, 0.002301,   -7.373709
   70,    O,   16,   8,   8,    15.994914620, 0.000000000,   -127.617345, 0.000000,   -7.976084
   71,    F,   16,   7,   9,    16.011465723, 0.000008932,   -111.417081, 0.008320,   -6.963568
   72,   Ne,   16,   6,  10,    16.025750864, 0.000021986,    -97.327435, 0.020480,   -6.082965
   73,    B,   17,  12,   5,    17.046931399, 0.000219114,    -89.583742, 0.204103,   -5.269632
   74,    C,   17,  11,   6,    17.022578672, 0.000018641,   -111.485462, 0.017364,   -6.557968
   75,    N,   17,  10,   7,    17.008448877, 0.000016103,   -123.864484, 0.015000,   -7.286146
   76,    O,   17,   9,   8,    16.999131757, 0.000000001,   -131.760425, 0.000001,   -7.750613
   77,    F,   17,   8,   9,    17.002095238, 0.000000266,   -128.216951, 0.000248,   -7.542174
   78,   Ne,   17,   7,  10,    17.017713959, 0.000000380,   -112.885082, 0.000354,   -6.640299
   79,   Na,   17,   6,  11,    17.037760000, 0.001075000,    -93.429073, 1.001356,   -5.495828
   80,    B,   18,  13,   5,    18.055601682, 0.000219180,    -89.578743, 0.204165,   -4.976597
   81,    C,   18,  12,   6,    18.026751932, 0.000032206,   -115.669412, 0.030000,   -6.426078
   82,    N,   18,  11,   7,    18.014077565, 0.000019935,   -126.692712, 0.018569,   -7.038484
   83,    O,   18,  10,   8,    17.999159613, 0.000000001,   -139.805795, 0.000001,   -7.766989
   84,    F,   18,   9,   9,    18.000937325, 0.000000497,   -137.366858, 0.000463,   -7.631492
   85,   Ne,   18,   8,  10,    18.005708693, 0.000000390,   -132.139234, 0.000363,   -7.341069
   86,   Na,   18,   7,  11,    18.026879386, 0.000100785,   -111.635619, 0.093881,   -6.201979
   87,    B,   19,  14,   5,    19.064166000, 0.000564000,    -89.672449, 0.525363,   -4.719603
